datetime,generationPower,year,month,day,hour,minute,dayofweek,dayofyear,time_idx,date
2024-06-01 02:55:00,39811.42,2024,6,1,2,55,5,153,305.0,2024-06-01
2024-06-01 03:00:00,34431.009999999995,2024,6,1,3,0,5,153,310.0,2024-06-01
2024-06-01 03:05:00,29628.86,2024,6,1,3,5,5,153,315.0,2024-06-01
2024-06-01 03:10:00,26168.03,2024,6,1,3,10,5,153,320.0,2024-06-01
2024-06-01 03:15:00,23590.3,2024,6,1,3,15,5,153,325.0,2024-06-01
2024-06-01 03:20:00,22909.68,2024,6,1,3,20,5,153,330.0,2024-06-01
2024-06-01 03:25:00,20914.66,2024,6,1,3,25,5,153,335.0,2024-06-01
2024-06-01 03:30:00,22302.940000000002,2024,6,1,3,30,5,153,340.0,2024-06-01
2024-06-01 03:35:00,21869.57,2024,6,1,3,35,5,153,345.0,2024-06-01
2024-06-01 03:40:00,19486.059999999998,2024,6,1,3,40,5,153,350.0,2024-06-01
2024-06-01 03:45:00,17021.28,2024,6,1,3,45,5,153,355.0,2024-06-01
2024-06-01 03:50:00,16790.989999999998,2024,6,1,3,50,5,153,360.0,2024-06-01
2024-06-01 03:55:00,18715.379999999997,2024,6,1,3,55,5,153,365.0,2024-06-01
2024-06-01 04:00:00,23661.68,2024,6,1,4,0,5,153,370.0,2024-06-01
2024-06-01 04:05:00,28992.98,2024,6,1,4,5,5,153,375.0,2024-06-01
2024-06-01 04:10:00,28818.55,2024,6,1,4,10,5,153,380.0,2024-06-01
2024-06-01 04:15:00,27984.0,2024,6,1,4,15,5,153,385.0,2024-06-01
2024-06-01 04:20:00,34814.520000000004,2024,6,1,4,20,5,153,390.0,2024-06-01
2024-06-01 04:25:00,36016.92,2024,6,1,4,25,5,153,395.0,2024-06-01
2024-06-01 04:30:00,36582.729999999996,2024,6,1,4,30,5,153,400.0,2024-06-01
2024-06-01 04:35:00,32895.58,2024,6,1,4,35,5,153,405.0,2024-06-01
2024-06-01 04:40:00,33653.92,2024,6,1,4,40,5,153,410.0,2024-06-01
2024-06-01 04:45:00,30606.809999999998,2024,6,1,4,45,5,153,415.0,2024-06-01
2024-06-01 04:50:00,30310.73,2024,6,1,4,50,5,153,420.0,2024-06-01
2024-06-01 04:55:00,33024.03,2024,6,1,4,55,5,153,425.0,2024-06-01
2024-06-01 05:00:00,38942.520000000004,2024,6,1,5,0,5,153,430.0,2024-06-01
2024-06-01 05:05:00,38227.15,2024,6,1,5,5,5,153,435.0,2024-06-01
2024-06-01 05:10:00,43949.3,2024,6,1,5,10,5,153,440.0,2024-06-01
2024-06-01 05:15:00,44457.91,2024,6,1,5,15,5,153,445.0,2024-06-01
2024-06-01 05:20:00,43583.93,2024,6,1,5,20,5,153,450.0,2024-06-01
2024-06-01 05:25:00,37571.32,2024,6,1,5,25,5,153,455.0,2024-06-01
2024-06-01 05:30:00,34796.740000000005,2024,6,1,5,30,5,153,460.0,2024-06-01
2024-06-01 05:35:00,39044.25,2024,6,1,5,35,5,153,465.0,2024-06-01
2024-06-01 05:40:00,35835.729999999996,2024,6,1,5,40,5,153,470.0,2024-06-01
2024-06-01 05:45:00,43073.979999999996,2024,6,1,5,45,5,153,475.0,2024-06-01
2024-06-01 05:50:00,39960.71,2024,6,1,5,50,5,153,480.0,2024-06-01
2024-06-01 05:55:00,37162.490000000005,2024,6,1,5,55,5,153,485.0,2024-06-01
2024-06-01 06:00:00,26490.59,2024,6,1,6,0,5,153,490.0,2024-06-01
2024-06-01 06:05:00,27188.559999999998,2024,6,1,6,5,5,153,495.0,2024-06-01
